WardCode,Crime2015
E05000026,2101
E05000027,797
E05000028,1109
E05000029,852
E05000030,723
E05000031,962
E05000032,1235
E05000033,764
E05000034,946
E05000035,666
E05000036,735
E05000037,577
E05000038,911
E05000039,1730
E05000040,738
E05000041,1021
E05000042,882
E05000043,796
E05000044,1360
E05000045,1882
E05000046,1440
E05000047,1169
E05000048,805
E05000049,852
E05000050,1323
E05000051,905
E05000052,1059
E05000053,1468
E05000054,871
E05000055,1388
E05000056,1014
E05000057,1340
E05000058,795
E05000059,679
E05000060,1017
E05000061,1070
E05000062,1945
E05000063,1243
E05000064,532
E05000065,690
E05000066,309
E05000067,402
E05000068,274
E05000069,1190
E05000070,598
E05000071,837
E05000072,584
E05000073,556
E05000074,445
E05000075,1037
E05000076,522
E05000077,608
E05000078,381
E05000079,869
E05000080,492
E05000081,376
E05000082,321
E05000083,512
E05000084,710
E05000085,1041
E05000086,1029
E05000087,977
E05000088,930
E05000089,1288
E05000090,850
E05000091,1870
E05000092,1352
E05000093,633
E05000094,1476
E05000095,1123
E05000096,828
E05000097,867
E05000098,1055
E05000099,1137
E05000100,2146
E05000101,768
E05000102,1624
E05000103,976
E05000104,1893
E05000105,1500
E05000106,601
E05000107,519
E05000108,980
E05000109,2598
E05000110,580
E05000111,814
E05000112,816
E05000113,1002
E05000114,1649
E05000115,1369
E05000116,1098
E05000117,291
E05000118,608
E05000119,566
E05000120,1069
E05000121,963
E05000122,1465
E05000123,1739
E05000124,672
E05000125,834
E05000126,276
E05000127,507
E05000128,858
E05000129,4045
E05000130,3986
E05000131,1018
E05000132,630
E05000133,702
E05000134,778
E05000135,1026
E05000136,1178
E05000137,1179
E05000138,4195
E05000139,1233
E05000140,1620
E05000141,1600
E05000142,1943
E05000143,1821
E05000144,949
E05000145,970
E05000146,1126
E05000147,888
E05000148,1023
E05000149,3165
E05000150,413
E05000151,655
E05000152,859
E05000153,4188
E05000154,806
E05000155,883
E05000156,589
E05000157,877
E05000158,965
E05000159,1089
E05000160,391
E05000161,1874
E05000162,436
E05000163,650
E05000164,1325
E05000165,1356
E05000166,1180
E05000167,1294
E05000168,1534
E05000169,1176
E05000170,1201
E05000171,649
E05000172,782
E05000173,2180
E05000174,1088
E05000175,2183
E05000176,1289
E05000177,1513
E05000178,1130
E05000179,941
E05000180,705
E05000181,643
E05000182,542
E05000183,754
E05000184,1019
E05000185,1242
E05000186,1456
E05000187,1071
E05000188,1431
E05000189,1703
E05000190,1320
E05000191,808
E05000192,1079
E05000193,697
E05000194,704
E05000195,923
E05000196,755
E05000197,2263
E05000198,1307
E05000199,1108
E05000200,846
E05000201,1152
E05000202,634
E05000203,936
E05000204,940
E05000205,1049
E05000206,1286
E05000207,1605
E05000208,922
E05000209,711
E05000210,831
E05000211,1138
E05000212,2088
E05000213,619
E05000214,1213
E05000215,986
E05000216,911
E05000217,809
E05000218,856
E05000219,1031
E05000220,739
E05000221,1084
E05000222,1882
E05000223,1046
E05000224,947
E05000225,2003
E05000226,1308
E05000227,723
E05000228,1602
E05000229,1901
E05000230,2366
E05009367,886
E05009368,708
E05009369,1067
E05009370,1864
E05009371,933
E05009372,1619
E05009373,1041
E05009374,1296
E05009375,1340
E05009376,1806
E05009377,3757
E05009378,1482
E05009379,884
E05009380,1291
E05009381,1674
E05009382,803
E05009383,1205
E05009384,537
E05009385,1291
E05009386,1018
E05009387,785
E05000250,1242
E05000251,1153
E05000252,966
E05000253,1082
E05000254,1073
E05000255,1085
E05000256,2694
E05000257,633
E05000258,892
E05000259,619
E05000260,1258
E05000261,1138
E05000262,839
E05000263,3471
E05000264,953
E05000265,996
E05000266,657
E05000267,1279
E05000268,1278
E05000269,990
E05000270,739
E05000271,1396
E05000272,710
E05000273,945
E05000274,803
E05000275,3236
E05000276,2010
E05000277,1155
E05000278,1278
E05000279,699
E05000280,2318
E05000281,1850
E05000282,1207
E05000283,1201
E05000284,1359
E05000285,415
E05000286,555
E05000287,701
E05000288,1833
E05000289,795
E05000290,651
E05000291,486
E05000292,345
E05000293,473
E05000294,436
E05000295,511
E05000296,801
E05000297,511
E05000298,276
E05000299,528
E05000300,431
E05000301,721
E05000302,783
E05000303,620
E05000304,608
E05000305,359
E05000306,1359
E05000307,361
E05000308,611
E05000309,414
E05000310,1460
E05000311,382
E05000312,904
E05000313,618
E05000314,885
E05000315,726
E05000316,684
E05000317,547
E05000318,887
E05000319,3322
E05000320,822
E05000321,1010
E05000322,607
E05000323,625
E05000324,1099
E05000325,1418
E05000326,1416
E05000327,423
E05000328,724
E05000329,486
E05000330,502
E05000331,3342
E05000332,797
E05000333,372
E05000334,492
E05000335,487
E05000336,688
E05000337,1180
E05000338,851
E05000339,1929
E05000340,1414
E05000341,1573
E05000342,1150
E05000343,755
E05000344,1068
E05000345,1455
E05000346,908
E05000347,1368
E05000348,956
E05000349,656
E05000350,961
E05000351,918
E05000352,1256
E05000353,872
E05000354,933
E05000355,803
E05000356,736
E05000357,1403
E05000358,2946
E05000359,985
E05000360,450
E05000361,1238
E05000362,900
E05000363,1014
E05000364,1151
E05000365,1228
E05000366,1834
E05000367,3019
E05000368,2088
E05000369,1189
E05000370,1957
E05000371,2562
E05000372,1264
E05000373,1537
E05000374,939
E05000375,1468
E05000376,1565
E05000377,1350
E05000378,1093
E05000379,2438
E05000380,1736
E05000381,1253
E05009388,878
E05009389,2544
E05009390,1107
E05009391,851
E05009392,1819
E05009393,1047
E05009394,880
E05009395,1105
E05009396,1221
E05009397,621
E05009398,535
E05009399,937
E05009400,1024
E05009401,772
E05009402,741
E05009403,1311
E05009404,678
E05009405,1189
E05000400,330
E05000401,329
E05000402,689
E05000403,469
E05000404,439
E05000405,525
E05000406,501
E05000407,235
E05000408,3230
E05000409,681
E05000410,286
E05000411,306
E05000412,624
E05000413,366
E05000414,599
E05000415,311
E05000416,2835
E05000417,1684
E05000418,1258
E05000419,2193
E05000420,3310
E05000421,2264
E05000422,1158
E05000423,1547
E05000424,1241
E05000425,1793
E05000426,2092
E05000427,1787
E05000428,1734
E05000429,1378
E05000430,1192
E05000431,936
E05000432,1055
E05000433,731
E05000434,1093
E05000435,1317
E05000436,1277
E05000437,1442
E05000438,1326
E05000439,1517
E05000440,848
E05000441,993
E05000442,1241
E05000443,1341
E05000444,1122
E05000445,832
E05000446,884
E05000447,980
E05000448,2872
E05000449,2025
E05000450,1018
E05000451,2150
E05000452,1170
E05000453,1117
E05000454,1088
E05000455,711
E05000456,303
E05000457,893
E05000458,916
E05000459,603
E05000460,1026
E05000461,543
E05000462,468
E05000463,652
E05000464,580
E05000465,287
E05000466,543
E05000467,657
E05000468,686
E05000469,474
E05000470,586
E05000471,964
E05000472,469
E05000473,502
E05000474,616
E05000475,1834
E05000476,1164
E05000477,1655
E05000478,1295
E05000479,1464
E05000480,1930
E05000481,865
E05000482,1088
E05000483,1111
E05000484,1753
E05000485,948
E05000486,1156
E05000487,1360
E05000488,1111
E05000489,975
E05000490,1524
E05000491,947
E05000492,5943
E05000493,707
E05000494,1039
E05000495,961
E05000496,704
E05000497,676
E05000498,777
E05000499,694
E05000500,732
E05000501,2063
E05000502,966
E05000503,761
E05000504,708
E05000505,915
E05000506,814
E05000507,1414
E05000508,753
E05000509,518
E05000510,928
E05000511,628
E05000512,1442
E05000513,619
E05000514,1481
E05000515,773
E05000516,491
E05000517,457
E05000518,470
E05000519,563
E05000520,482
E05000521,498
E05000522,520
E05000523,565
E05000524,564
E05000525,652
E05000526,661
E05000527,683
E05000528,1100
E05000529,407
E05000530,500
E05000531,742
E05000532,611
E05000533,520
E05000534,1287
E05000535,1678
E05000536,3309
E05000537,1965
E05000538,877
E05000539,739
E05000540,1917
E05000541,1164
E05000542,2005
E05000543,1427
E05000544,1788
E05000545,1049
E05000546,1322
E05000547,806
E05000548,1919
E05000549,1581
E05000550,1346
E05000551,679
E05000552,838
E05000553,2259
E05000554,724
E05000555,599
E05000556,603
E05000557,305
E05000558,507
E05000559,377
E05000560,414
E05000561,519
E05000562,861
E05000563,482
E05000564,1800
E05000565,472
E05000566,394
E05000567,348
E05000568,608
E05000569,502
E05000570,618
E05000571,855
E05000572,526
E05009317,2224
E05009318,888
E05009319,1552
E05009320,1341
E05009321,960
E05009322,987
E05009323,1473
E05009324,678
E05009325,1848
E05009326,378
E05009327,1578
E05009328,915
E05009329,956
E05009330,872
E05009331,2412
E05009332,1224
E05009333,2761
E05009334,908
E05009335,1959
E05009336,1921
E05000590,847
E05000591,900
E05000592,1031
E05000593,741
E05000594,528
E05000595,1074
E05000596,864
E05000597,698
E05000598,775
E05000599,2333
E05000600,968
E05000601,1279
E05000602,742
E05000603,1747
E05000604,1445
E05000605,1222
E05000606,1191
E05000607,1270
E05000608,720
E05000609,1029
E05000610,1137
E05000611,819
E05000612,1060
E05000613,684
E05000614,1333
E05000615,864
E05000616,1602
E05000617,1159
E05000618,958
E05000619,1561
E05000620,1491
E05000621,1415
E05000622,1234
E05000623,1056
E05000624,1162
E05000625,1519
E05000626,1331
E05000627,906
E05000628,683
E05000629,821
E05000630,579
E05000631,1139
E05000632,1947
E05000633,1141
E05000634,1021
E05000635,902
E05000636,2054
E05000637,1744
E05000638,1952
E05000639,825
E05000640,682
E05000641,3255
E05000642,775
E05000643,902
E05000644,11130
E05000645,449
E05000646,921
E05000647,1428
E05000648,1016
E05000649,14199
